Column1,Product,Handle,Price,,,,,
0,All Day Long Sleeve T-Shirt,all-day-long-sleeve-t-shirt-black,75,,,,,
1,All Day Long Sleeve T-Shirt,all-day-long-sleeve-t-shirt-white,75,,Average of Price,Maximum Value of Price,Minimum Value of Price,Total Sum of Price
2,All Day Long Sleeve T-Shirt,all-day-long-sleeve-t-shirt-lake,75,,$151.87,$350.00,$2.00,"$39,334.95"
3,All Weather Cardigan,all-weather-cardigan-nori,200,,,,,
4,All Weather Cardigan,all-weather-cardigan-pepper,200,,,,,
5,All Weather Cardigan,all-weather-cardigan-black,200,,,,,
6,Back To Front Shirt Dress,womens-long-shirt-dress-back-to-front,180,,,,,
7,Back To Front Shirt Dress,back-to-front-shirt-dress-mineral-1,180,,,,,
8,Bend and Stretch Dress Pants,bend-and-stretch-pants-black,160,,,,,
9,Bend and Stretch Dress Pants,bend-and-stretch-pants-latte,160,,,,,
10,Best In Class Bodysuit,best-in-class-bodysuit-mineral,105,,,,,
11,Bio Detergent - Free & Clear,free-clear-by-dirty-labs,14,,,,,
12,Brakes On Leggings,womens-leggings-with-phone-pocket-brakes-on,118,,,,,
13,Chill Out Blouse,womens-long-sleeve-v-neck-shirt-blouse-chill-out,220,,,,,
14,Chill Out Blouse,chill-out-blouse-forest-1,220,,,,,
15,City Summits Vest,city-summits-vest-black,250,,,,,
16,City Summits Vest,city-summits-vest-sand,250,,,,,
17,Comfort Zone Hoodie,comfort-zone-sweatshirt-black,160,,,,,
18,Comfort Zone Hoodie,comfort-zone-hoodie-sage,160,,,,,
19,Comfort Zone Hoodie,comfort-zone-hoodie-sand,160,,,,,
20,Comfort Zone Hoodie,copy-of-comfort-zone-hoodie,160,,,,,
21,Comfy Days Pants,comfy-days-pants,145,,,,,
22,Comfy Days Pants,comfy-days-pants-coconut,145,,,,,
23,Cool-Down Crop Top,womens-wrap-crop-top-cool-down,135,,,,,
24,Cool-Down Crop Top,cool-down-crop-top-black,135,,,,,
