Keyword,Frequency
-,6022
Black,1757
Dress,1326
Jeans,837
Set,615
Blue,482
Wash,475
The,459
Mini,407
Jumpsuit,343
Me,336
White,325
Medium,319
High,309
Skinny,298
Top,292
You,284
Sweater,284
Midi,279
Gold,262
It,254
Rise,240
Bodysuit,239
In,211
Dark,207
Grey,206
Denim,202
A,199
Up,196
Light,195
My,190
Pants,190
Short,189
Romper,187
Pant,185
Skirt,181
Your,176
Ruched,176
Biker,165
To,163
Red,162
Olive,158
On,157
Off,151
Maxi,144
Love,137
Heather,135
And,134
Of,125
Legging,123
Distressed,122
Nude,122
Burgundy,121
Shoulder,120
Tie,118
Leggings,117
Mesh,109
Piece,108
Mauve,106
Dye,105
All,103
Flare,102
Shorts,101
For,99
Ribbed,97
Taupe,94
Sunglasses,91
Don't,89
Bikini,89
Brown,88
Ivory,85
Jogger,84
Out,84
One,83
Navy,83
Hoodie,78
Sleeve,78
Earrings,78
Necklace,78
Mocha,77
Booty,76
Silver,76
Pink,76
Satin,73
Sequin,70
Sandals,70
Black/White,69
Charcoal,68
Leather,68
Girl,67
Multi,67
With,66
I,62
Cardigan,60
Waist,59
Ankle,59
Cargo,58
Keep,58
Joggers,57
Leopard,57
Back,56
Heeled,56
Long,55
Leg,55
Faux,54
Night,54
Swimsuit,54
Get,53
Black/combo,53
Go,52
Lace,52
Be,52
Way,52
Boyfriend,52
Crop,52
Rust,51
Cover,50
Rose,50
Heel,50
Mustard,50
So,49
Time,49
Classic,48
No,48
Chocolate,48
3,48
Just,47
Heart,47
Neck,47
Down,47
Flat,47
2,47
Super,45
Orange,45
Neon,44
That,43
Clear,43
Hoop,42
Over,42
Not,42
Sandal,41
Around,40
Heels,40
Cut,40
Like,40
Knit,39
Take,39
Tube,39
Oversized,38
Belt,38
Day,37
Waisted,37
Vibe,37
Always,37
Wine,37
Brown/combo,37
Jean,36
Make,36
Chill,36
Boot,35
Stretch,35
Rhinestone,35
Cozy,35
Nova,34
Camo,34
See,34
Good,34
What,34
Anklet,34
Never,34
Shirt,34
Favorite,33
Relaxed,33
Color,33
Mom,33
Got,32
Body,32
Best,32
Ready,31
This,31
Blush,31
At,31
Plaid,31
Life,31
Can't,30
II,30
Green,30
Floral,30
New,30
Sweet,30
Dreams,30
Yellow,30
Season,29
Mid,29
Basic,29
Babe,29
Vibes,29
Straight,29
Look,29
Chain,29
Beach,28
Seamless,28
Terry,28
Ring,28
Mind,28
Hunter,28
Side,28
Stay,28
Game,27
Stole,27
Boyfriend's,27
French,27
Right,27
Baby,27
Stacked,27
Need,27
Days,26
Greatest,26
Tunic,26
Better,26
Come,26
Butterfly,26
Show,26
Latest,25
Khaki,25
Lover,25
Head,25
Let,25
Can,25
Striped,25
Lifting,24
Meet,24
Royal,24
Play,24
Fit,24
Living,24
Tan,24
Bandage,24
Bootie,24
Low,23
Away,23
Talk,23
Active,23
Give,23
Choker,23
Snake,23
Socks,23
Here,23
Casual,23
Feeling,23
Sweatpants,23
Zip,23
Buenos,22
Aires,22
Too,22
Little,22
Twisted,22
Square,22
Velvet,22
Wide,22
Tall,22
Blue/combo,22
Lounge,22
Knot,21
Ruffle,21
Do,21
Soft,21
Double,21
By,21
Bad,21
Tank,21
Call,21
Cross,21
Wild,21
Know,21
Pink/combo,21
From,20
Shaping,20
Wanderlust,20
Through,20
Fleece,20
Free,20
Camel,20
Turtle,20
Hot,20
Than,20
I'm,20
More,20
White/Black,20
Simple,20
Swim,20
Stripe,20
It's,20
Nights,19
But,19
Queen,19
Shine,19
Block,19
Slides,19
Lavender,19
Wrap,19
Everything,18
Button,18
Blazer,18
Print,18
Slit,18
Weekend,18
As,18
Booties,18
About,18
Walk,18
Cream,18
Hooded,18
Glass,17
Curves,17
Sugar,17
Oh,17
Scarf,17
Want,17
Sage,17
Sunsuit,17
Purple,17
Victoria,16
the,16
Dream,16
Boots,16
Happy,16
Party,16
Beauty,16
and,16
Beige,16
PU,16
Cognac,16
Cropped,16
Layered,16
Sculpting,16
Again,16
Summer,16
Natalee,15
Cadet,15
Work,15
Are,15
Moves,15
Grind,15
V,15
Into,15
Moment,15
Comfort,15
Only,15
Halter,15
Tied,15
T,15
Snatched,15
Colorblock,15
White/combo,15
Yes,14
Lifter,14
Slip,14
Hour,14
Slay,14
Knee,14
Chelsea,14
Anything,14
Bodycon,14
Duster,14
Jacket,14
Spot,14
Printed,14
Or,14
Moments,14
Pullover,14
Break,14
Taupe/combo,14
Two,14
Sassy,14
Chic,14
Paparazzi,14
Turtleneck,14
You're,14
First,13
Met,13
Soul,13
Running,13
Strong,13
Twist,13
Street,13
Chase,13
Date,13
Tell,13
Smooth,13
Feels,13
She's,13
Plum,13
Next,13
Slide,13
Tropical,13
Cutting,13
Tee,13
Bracelet,13
Is,13
Green/combo,13
Say,12
Distress,12
Needs,12
Deep,12
Flex,12
of,12
Dare,12
Miss,12
Some,12
Tokyo,12
Everyday,12
Have,12
She,12
Eye,12
Camouflage,12
After,12
Honey,12
True,12
Coming,12
Sun,12
Slouch,12
Easy,12
Now,12
