Cloth_Desc,Price
All Day Long Sleeve T-Shirt,75.0
All Day Long Sleeve T-Shirt,75.0
All Day Long Sleeve T-Shirt,75.0
All Weather Cardigan,200.0
All Weather Cardigan,200.0
All Weather Cardigan,200.0
Back To Front Shirt Dress,180.0
Back To Front Shirt Dress,180.0
Bend and Stretch Dress Pants,160.0
Bend and Stretch Dress Pants,160.0
Best In Class Bodysuit,105.0
Bio Detergent - Free & Clear,14.0
Brakes On Leggings,118.0
Chill Out Blouse,220.0
Chill Out Blouse,220.0
City Summits Vest,250.0
City Summits Vest,250.0
Comfort Zone Hoodie,160.0
Comfort Zone Hoodie,160.0
Comfort Zone Hoodie,160.0
Comfort Zone Hoodie,160.0
Comfy Days Pants,145.0
Comfy Days Pants,145.0
Cool-Down Crop Top,135.0
Cool-Down Crop Top,135.0
Cozy Cool Pants,200.0
Cozy Cool Pants,200.0
Cozy Cool Pants,200.0
Cozy Up Top,135.0
Crop And Roll Leggings,98.0
Crop And Roll Leggings,98.0
Crop And Roll Leggings,98.0
Crop It Up Culotte Pants,155.0
Crop It Up Shorts,125.0
Cropped Suits You Blouse,145.0
Dawn To Dusk Kimono,220.0
Day to Night Pants,175.0
Destination Jumpsuit,230.0
Destination Jumpsuit,230.0
Destination Jumpsuit,230.0
Destination Jumpsuit,230.0
Dial It Down Pants,170.0
Double Take Double Breasted Blazer,235.0
Double Up Socks,75.0
Double Up Socks,75.0
Dream Harder Racerback Tank Top,88.0
Dream Harder Racerback Tank Top,88.0
Dream Harder Racerback Tank Top,88.0
Ease In Paperbag Shorts,135.0
Ease In Paperbag Shorts,135.0
Easy Days Pants,160.0
Easy Days Pants,160.0
Easy Days Pants,160.0
Easy Days Pants,160.0
Easy Days Pants,160.0
Easy Days Shorts,135.0
Easy Days Shorts,135.0
Essentialist T-Shirt,95.0
Essentialist T-Shirt,95.0
Essentialist T-Shirt,95.0
Essentialist T-Shirt,95.0
Essentialist T-Shirt,95.0
Essentialist T-Shirt,95.0
Essentialist T-Shirt,95.0
Essentialist T-Shirt (3-pack),265.0
Essentialist T-Shirt (3-pack),265.0
Essentialist T-Shirt Dress,160.0
Everyday T-Shirt,70.0
Everyday T-Shirt,70.0
Everyday T-Shirt,70.0
Free Float Linen Dress,235.0
Free Float Linen Dress,235.0
Fresh Start Shorts,140.0
Got It Covered Suit,130.0
Hail Yes Joggers,155.0
Hail Yes Joggers,155.0
Here. Now. Silk Bandana,35.0
Hit Snooze Travel Eye Mask,28.0
Hit Snooze Travel Eye Mask,28.0
Home Stretch Pullover,155.0
Home Stretch Pullover,155.0
Home Stretch Pullover,155.0
Home Stretch Pullover,155.0
I'm Flaxible Linen Tank Top,115.0
I'm Flaxible Linen Tank Top,115.0
Ice Pop Dress Pants,200.0
Ice Pop Dress Pants,200.0
Ice Pop Dress Pants,200.0
Inside Out Reversible Jacket,250.0
It's A Classic T-Shirt,115.0
It's a Swirl Wrap Skirt,175.0
It's A Swirl Wrap Skirt,175.0
It's A Swirl Wrap Skirt,175.0
Keep It Cozy Arm Warmers,85.0
Keep It Cozy Arm Warmers,85.0
Keep It Cozy Arm Warmers,85.0
Kick Back Linen Pants,215.0
Kick Back Linen Pants,215.0
Layered Up Thermal Leggings,150.0
Layered Up Thermal Leggings,150.0
Layered Up Thermal Leggings,150.0
Layered Up Thermal Leggings,150.0
LBD Dress,190.0
LBD Dress,190.0
LBD Dress,190.0
LBD Dress,190.0
Legacy Trench,350.0
Let Loose Linen Top,175.0
Lighten Up Sports Bra,80.0
Lighten Up Sports Bra,80.0
Lighten Up Sports Bra,80.0
Lighter Days Shorts,110.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Boss Pullover,165.0
Like A Dream Joggers,165.0
Like A Dream Joggers,165.0
Like A Dream Joggers,165.0
Like A Dream Joggers,165.0
Like A Fleece Sweatshirt,165.0
Like A Hug Sweatshirt,145.0
Like A Hug Sweatshirt,145.0
Long Haul Satin Jumpsuit,195.0
Made It T-Shirt,95.0
Made It T-Shirt,95.0
Made It T-Shirt,95.0
Made It T-Shirt,90.0
Made It T-Shirt,95.0
Made It T-Shirt,95.0
Necessi-T-Shirt,95.0
Necessi-T-Shirt,95.0
Necessi-T-Shirt,95.0
Necessi-T-Shirt,95.0
Necessi-T-Shirt,95.0
Necessi-T-Shirt,95.0
Necessi-T-Shirt (3-pack),265.0
No Sweat Sweater,200.0
No Sweat Sweater,200.0
No Sweat Sweater,200.0
Not So Basic Tank Top,68.0
Not So Basic Tank Top,68.0
Offset Your Next Trip,2.0
On Board Satin Pants,80.95
Over In One Wrap Dress,165.0
Overhead Turtleneck Top,98.0
Pack It Up Joggers,138.0
Pack It Up Joggers,138.0
Pleat And Repeat Tank Top,70.0
Pleat And Repeat Tank Top,70.0
Portfolio Shorts,180.0
Portfolio Shorts,180.0
Portfolio Tailored Pants,210.0
Portfolio Tailored Pants,210.0
Portfolio Tailored Pants,210.0
Rain Or Shine Hooded Scarf,150.0
Rain Or Shine Hooded Scarf,150.0
Rain Or Shine Hooded Scarf,150.0
Relax I'm Flax Linen Shirt,170.0
Relax I'm Flax Linen Shirt,160.0
Self-Care Shorts,88.0
Shrug It Off Scarf,180.0
Shrug It Off Scarf,180.0
Shrug It Off Scarf,180.0
Simple Things Top,78.0
Snap To It Tank Top,78.0
Snap To It Tank Top,78.0
Snap To It Tank Top,78.0
Snap To It Tank Top,78.0
Snap To It Tank Top,78.0
Something Borrowed Dress,195.0
Something Borrowed Dress,195.0
Something Borrowed Dress,195.0
Something Borrowed Dress,195.0
Something Borrowed Dress,195.0
Something Borrowed Dress,195.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Borrowed Shirt,150.0
Something Cool Button Down,170.0
Something Cool Button Down,170.0
Something Cool Button Down,170.0
Something Cool Button Down,170.0
Something Cool Button Down,170.0
Something Tailored Shirt,150.0
Something Tailored Shirt,150.0
Something Tailored Shirt,150.0
Something Tailored Shirt,150.0
Straight Up Dress Pants,160.0
Straight Up Dress Pants,160.0
Straight Up Dress Pants,160.0
Straight Up Dress Pants,160.0
Strategy Blazer,245.0
Strategy Blazer,245.0
Strategy Blazer,245.0
Suits You Wrap Blouse,145.0
Sunday Morning Pants,165.0
Tailor-Made Pants,165.0
Tailor-Made Pants,165.0
That's A Wrap Top,150.0
That's A Wrap Top,150.0
That's A Wrap Top,150.0
That's A Wrap Top,150.0
That's A Wrap Top,150.0
That's A Wrap Top,150.0
Three-In-One Hat,85.0
Three-In-One Hat,85.0
Three-In-One Hat,85.0
Three-In-One Hat,85.0
Throw And Roll Leggings,135.0
Throw And Roll Leggings,135.0
Throw It Higher Leggings,165.0
Throw It Higher Leggings,165.0
Throw It Higher Leggings,165.0
Throw It Higher Leggings,165.0
Throw It Higher Leggings,165.0
Top Notch Scoop Neck Top,75.0
Trailblazer Belted Blazer - Latte,260.0
Trailblazer Belted Blazer - Oat,260.0
Turn It Around Pants,170.0
