Column1,Cloth_Desc,Price
0,Classic High Waist Skinny Jeans - Dark Denim,24.99
1,Classic High Waist Skinny Jeans - Medium Blue Wash,24.99
2,Super High Waist Denim Skinnies - Black,24.99
3,Canopy Jeans - Black,24.99
4,Classic High Waist Skinny Jeans - Light Blue Wash,24.99
5,Supernatural High Rise Jeans - Dark Wash,15.0
6,The Glass Slipper - Transparent,39.99
7,Coraline High Rise Jeans - Black,24.0
8,Nova Season Jumpsuit - Black,20.0
9,Classic High Waist Skinny Jeans - Black,24.99
10,Super High Waist Denim Skinnies - White,24.99
11,Glistening Jeans - Black,27.99
12,Almost Every Day Leggings - Black,9.0
13,Say Yes To Distress Jeans - Medium Wash,15.0
14,Natalee Biker Shorts - Black,7.0
15,Super High Waist Denim Skinnies - Medium Blue,24.99
16,Super High Waist Denim Skinnies - Indigo,24.99
17,Canopy Jeans - Medium Wash,24.99
18,Drive To The Ocean Jeans - Light Blue Wash,15.0
19,Canopy Jeans - White,24.99
20,Brooke Biker Shorts - Black,7.0
21,Classic Mid Rise Skinny Jeans - Medium Blue Wash,24.99
22,Beach Bum Jeans - Medium Blue,15.98
23,Buenos Aires Romper - Black,12.0
24,Nova Season Jumpsuit - Heather Grey,20.0
25,I Got It From My Mama Jeans - Medium Wash,15.0
26,First Pick High Rise Jeans - Medium Blue Wash,15.0
27,Can't Believe It! Booty Shaping Skinny Jeans- Black,20.0
28,Your Needs Met Dress - Black,16.0
29,Cadet Kim Oversized Camo Pants - Camo,20.0
30,Classic Mid Rise Skinny Jeans - Dark Denim,24.99
31,Glistening Jeans - Medium Wash,7.98
32,Spree Dress - Black,49.99
33,Since Day One Seamless Leggings - Black,5.0
34,Victoria High Waisted Dress Pants - Black,22.0
35,Deep In My Soul Flare Jeans - Medium Blue Wash,29.99
36,Soothe Off Shoulder Jumpsuit - Black,20.0
37,Distracted High Rise Jeans - Black,15.0
38,Hug So Tight Jeans - Black,15.0
39,Jodeci Jeans - Dark Wash,12.0
40,Wanderlust Leggings - Grey,29.99
41,Too Much Booty Low Rise Jeans - Medium Blue Wash,15.0
42,Marilyn High Waisted Skinny Jeans - Light Wash,15.0
43,Nova Boost Jumpsuit - Black,16.0
44,Lola Low Rise Skinny Jeans - Black,15.0
45,Uncomplicated Seamless Shorts - Black,6.0
46,On The Daily Leggings - Black,6.0
47,Sunshine See Through Cover Up Pant - Black,34.99
48,Say Yes To Distress Jeans - Dark Denim,15.0
49,Tris Skinny Jeans - Black,29.99
50,Super High Waist Denim Skinnies - Olive,24.99
51,Hannah High Rise Jeans - Light Blue Wash,17.99
52,Drive To The Ocean Jeans - Dark Denim,15.0
53,Running Around High Rise Legging - Black,8.0
54,The Glass Slipper - Rose Gold,39.99
55,Well Played Jeans - Black,34.99
56,Jacklyn Off Shoulder Mini Dress - Oatmeal,19.99
57,Nova Season Jumpsuit - Charcoal,20.0
58,Hannah High Rise Jeans - Dark Denim,17.99
59,Lose it All Heel - Black,39.99
60,Kahula Skinny Jeans - Black,15.0
61,Perfectly Classic Skinny Jeans - Black,9.98
62,Classic Mini Biker Shorts - Black,14.0
63,Glistening Jeans - White,34.99
64,Edges That Scratch Bodysuit - Black,29.99
65,Killing 'Em Kindly High Rise Jeans - Medium Blue Wash,35.99
66,Work Of Art Dress - Red/Multi,24.99
67,Flex Game Strong Super High Rise Skinny Jeans - Light Wash,24.99
68,Faux Leather Tummy Tuck Leggings - Black,24.99
69,Natalee Biker Shorts - Grey,7.0
70,Sammie High Rise Pants - Black,29.99
71,Fool In Love Off Shoulder Bodysuit - Black,17.99
72,Kallan Knit Dress - Black,29.0
73,One of the Boys Dress - Black,19.99
74,No Good For Each Other Jeans - Dark,15.0
75,Classic High Waist Skinny Jeans - White,24.99
76,Fantasea Nights High Rise Jeans - Light Blue,15.0
77,My Favorite Biker Short - Black,6.0
78,Tempe Distressed Jeans - Light Wash,18.0
79,Needing Something Jeans - Medium,15.0
80,Brooke Biker Shorts - Grey,7.0
81,Remedy For Everything Romper - Black,24.99
82,Our Favorite High Rise Skinny Jeans - Medium Blue Wash,32.99
83,Catty Distressed Skinny Jeans - Medium Wash,15.0
84,I Got It From My Mama Jeans - Dark Denim,15.0
85,Let's Get Carried Away Low Rise Booty Lifter Skinny Jeans - Medium Blue Wash,15.0
86,Knot Your Girl Pants - Black,29.99
87,Blue Dream High Rise Jeans - Light Blue Wash,12.0
88,Are We Clear Sandal - Clear,19.99
89,Deep In My Soul Flare Jeans - Black,29.99
90,Curves For Days Biker Shorts - Black,27.99
91,Plain Jane Mini Shorts - Black,6.0
92,I Just Might Booty Shaping Jeans - Medium Wash,19.99
93,Nanette High Rise Jeans - Medium Blue,15.0
94,Bondoc Biker Short Set - Black,34.99
95,Hit The Freeway Jeans - Black,8.98
96,Yes Fleece Leggings - Black,2.98
97,Work That Booty Lifting Low Rise Jeans - Dark Denim,18.0
98,Stole Your Boyfriend's Oversized Jogger - Black,20.0
99,Wanderlust Hoodie - Grey,14.99
100,Maura Mesh Dress - White,34.99
101,Flex Game Strong Super High Rise Skinny Jeans - Dark Blue Wash,24.99
102,Pretty In Thigh High Boots - Black,49.99
