Cloth_Desc,Price
Casette Linen Dress,248.0
Jaide Dress,328.0
Joanne Cotton Cardigan,128.0
Mason Pant,178.0
Lindy Knit Top,68.0
Frankie Silk Dress,298.0
Jacinta Linen Top,78.0
Layla Linen Skirt,148.0
Vesta Pant,178.0
Spritz Linen Top,98.0
Meadowlark Top,148.0
Ellora Top,98.0
Fantino Cashmere Collared Cardigan,248.0
Cello Knit Top,68.0
Emiliana Knit Dress,98.0
Kienna Linen Dress,98.0
Vesta Pant,178.0
Spritz Linen Top,98.0
Meadowlark Top,148.0
Ellora Top,98.0
Fantino Cashmere Collared Cardigan,248.0
Cello Knit Top,68.0
Emiliana Knit Dress,98.0
Kienna Linen Dress,98.0
Kerrigan Linen Dress,218.0
Cienna Linen Vest,128.0
Nova Tank,38.0
Jayde High Rise Denim Midi Skirt,148.0
Will Oversized Shirt,128.0
Liza Ultra High Rise Straight Cropped Jeans,148.0
Joanne Cotton Cardigan,128.0
Mason Pant,178.0
Oversized Long Sleeve Tee,68.0
Val 90s Mid Rise Straight Jeans,148.0
Frankie Silk Dress,298.0
Frankie Silk Dress Es,298.0
Lindy Knit Top,68.0
Fantino Cashmere Collared Cardigan,248.0
Cora Linen Top,128.0
Tazz Maxi Denim Skirt,188.0
Will Oversized Silk Shirt,168.0
Ethan Twill Pant,178.0
Emmett Knit Top,88.0
Cary High Rise Slouchy Wide Leg Jeans,148.0
Veda Reade Leather Jacket,448.0
Heron Cotton Sweater Dress,228.0
Jessi Linen Dress,128.0
Vesta Pant,178.0
Jacinta Linen Top,78.0
Overland Linen Jumpsuit,248.0
Jaida Linen Two Piece,278.0
Colton Sweater Tank,88.0
Jacinta Linen Top,78.0
Spritz Linen Top,98.0
Ava Linen Pant,158.0
Silk Scarf,128.0
Bea Satin Skirt,178.0
Heron Cotton Sweater Dress,228.0
Crimini Dress,148.0
Daphne Top,168.0
Colton Sweater Tank,88.0
Hester Top,98.0
Sasha Silk Jumpsuit,328.0
Cora Linen Top,128.0
Ava Linen Pant,158.0
Harlan Knit Top,78.0
Solana Satin Dress,398.0
Shayla Dress,348.0
Olivia Linen Two Piece,248.0
Wilder High Rise Wide Leg Jeans,148.0
Will Oversized Shirt,128.0
Veda Bowery Leather Blazer,428.0
Redford Cotton Open Knit Sweater,168.0
Johnny Dress,218.0
