Column1,Column2,Column3,,,,,
SHEIN Unity Solid Form Fitted Bodysuit,"$8.35
$9.00",8.35,,,,,
Cherry Embroidery Lantern Sleeve Cardigan,"$19.00
-5%",19,,Average of Price,Maximum Value of Price,Minimum Value of Price,Total Sum of Price
Random Allover Floral Print Ruched Bust Ruffle Hem Cami Dress,"$17.00
-5%",17,,$13.59,$58.00,$2.75,"$65,154.25"
SHEIN SXY Cut Out Waist Tube Bodycon Dress,"$9.00
$10.00",9,,,,,
Solid Drawstring Slant Pocket Sweatpants,"$13.49
-5%",13.4,,,,,
Ring Linked Triangle Thong Bikini Swimsuit,"$8.00
$9.00",8,,,,,
Leather Look Zipper Fly Flare Leg Jeans,"$22.49
-5%",22.4,,,,,
3pack Random Tropical Print Halter Drawstring Side Bikini Swimsuit,"$12.69
$18.00",12.6,,,,,
O-ring Detail Textured Bikini Swimsuit,"$12.00
-5%",12,,,,,
Letter Graphic Drop Shoulder Thermal Pullover,"$9.49
$11.00",9.49,,,,,
Solid Ribbed Crop Tank Top,"$8.49
$9.00",8.49,,,,,
Solid Ruched Side Pencil Hem Tank Dress,"$13.00
-5%",13,,,,,
Ditsy Floral Ring Linked Triangle Bikini Swimsuit,"$8.49
$9.49",8.49,,,,,
Solid Ruched Stacked Skinny Jeans,"$23.49
-5%",23.4,,,,,
SHEIN SXY Scoop Neck Unitard Jumpsuit,"$15.00
-5%",15,,,,,
Contrast Binding Halter Triangle Bikini Top,"$5.49
$6.49",5.49,,,,,
SHEIN ICON Tie Backless Ruched Halter Jumpsuit,"$18.00
-5%",18,,,,,
Plain Halter Micro Triangle Bikini Swimsuit,"$8.00
$9.00",8,,,,,
Heart Pattern Drop Shoulder Sweater,"$20.00
-5%",20,,,,,
SHEIN SXY Lace Trim Hook & Eye Cami Top,"$14.49
-5%",14.4,,,,,
SHEIN SXY Split Hem Tube Dress,"$11.00
-5%",11,,,,,
SHEIN Modely Houndstooth Shoulder Pads Mock Neck Bodycon Dress,"$5.75
$11.49",5.75,,,,,
Shirred Bodice Allover Print Jumpsuit Without Belt,"$14.00
-5%",14,,,,,
Zipper Fly Flap Pocket Cargo Jeans,"$28.00
-5%",28,,,,,
Ditsy Floral Flounce Sleeve Blouse,"$8.00
$9.00",8,,,,,
Triangle Tie Side Bikini Swimsuit,"$8.49
$10.00",8.49,,,,,
Plain Knot Kimono,"$7.00
$7.49",7,,,,,
EMERY ROSE Crisscross Backless Wide Leg Cami Jumpsuit,"$14.00
-5%",14,,,,,
Keyhole Back Halter Bodycon Dress,"$13.00
-5%",13,,,,,
SHEIN SXY Solid Backless Crop Tank Top,"$5.49
$6.49",5.49,,,,,
Colorblock Contrast Collar Blouse,"$11.00
-5%",11,,,,,
SHEIN Bell Sleeve Knot Front Crochet Kimono,"$6.49
$7.49",6.49,,,,,
Two Tone Contrast Binding Tie Backless Halter Triangle Bikini Top,"$7.00
$8.00",7,,,,,
Notch Neck Rib-knit Tank Top,"$4.49
$5.00",4.49,,,,,
Textured Knit Duster Cardigan,"$18.00
-5%",18,,,,,
EMERY ROSE Color Block Lantern Sleeve Blouse,"$9.00
$10.00",9,,,,,
SHEIN SXY Lapel Neck Single Breasted Blazer,"$22.49
-5%",22.4,,,,,
SHEIN BASICS Drop Shoulder Zipper Up Hooded Sweatshirt,"$15.00
-5%",15,,,,,
SHEIN BASICS Solid Mock Neck Crop Top,"$3.85
$4.00",3.85,,,,,
DAZY Button Up Drop Shoulder Shirt,"$18.00
-5%",18,,,,,
SHEIN ICON Solid PU Leather Crop Cami Top,"$4.00
-5%",4,,,,,
