Keyword,Frequency
SHEIN,1812
Dress,1385
Print,845
Solid,806
Top,775
Neck,772
Sleeve,668
Shoulder,638
Hem,567
Crop,547
Tee,499
Floral,490
Bikini,444
Tie,441
Front,424
&,420
Cami,419
Drop,419
Swimsuit,403
SXY,351
EZwear,304
Ruffle,285
Trim,284
Waist,283
High,275
Bodycon,263
Halter,263
Ruched,259
Sweater,253
Up,253
Split,251
Blouse,249
Back,247
Knit,244
Cut,242
EMERY,242
ROSE,242
Backless,239
Tank,228
Graphic,219
Out,203
Unity,202
Pants,199
Leg,185
Skirt,184
Drawstring,182
Side,180
VCAY,180
Pocket,179
Button,177
Allover,176
Letter,175
Lace,175
Knot,169
Thigh,165
Jeans,157
Tube,153
BAE,148
Detail,145
Ribbed,145
Shorts,144
Belted,143
Zip,141
ICON,138
Ditsy,137
Mock,136
Contrast,133
DAZY,127
Mesh,127
Triangle,125
One,125
Twist,123
Batwing,120
Without,119
Flounce,118
Striped,118
Lantern,115
PETITE,112
Thermal,109
Wrap,107
Asymmetrical,103
Shirred,100
Bodysuit,94
Jumpsuit,90
Wide,90
Notched,90
Blazer,88
Cover,87
Sweatshirt,86
Shirt,86
Pattern,85
Puff,85
Collar,81
Lined,80
Hoodie,79
MOD,78
Rib-knit,76
Colorblock,75
Scoop,74
Flap,74
Satin,74
Ripped,73
Dot,72
Butterfly,71
Frill,69
Textured,68
Rib,68
Fitted,67
Open,66
Sweatpants,65
Tropical,64
Flare,63
Heart,63
Block,63
BASICS,63
Slogan,62
Color,61
V,61
Square,61
Plain,60
Cardigan,59
Plunging,59
Embroidery,58
Frenchy,58
Unitard,55
Plaid,54
Crisscross,53
Romper,53
Straight,53
Slant,51
Raw,51
Denim,51
Zipper,50
Slit,50
Linked,49
Off,48
A-line,48
Smock,48
Ring,46
Pleated,45
Set,45
Leopard,44
Lettuce,44
PU,43
Coat,43
Sequin,43
ROMWE,42
Guipure,42
Cross,42
Dye,42
Leather,41
Cargo,40
Keyhole,40
Panel,39
Bishop,39
Raglan,39
Jacket,39
Bust,38
Two,38
Tone,38
Random,37
Tall,37
Layered,37
Polka,37
Slim,37
Sheer,36
Shawl,36
Surplice,36
Half,36
Cutout,36
Smocked,35
Swiss,35
Sweetheart,35
Round,35
Skinny,34
X,34
Fringe,34
Tunic,34
Single,32
Vest,32
Oversized,32
Waisted,32
Leggings,32
Patched,32
Belt,31
Double,31
And,31
Rhinestone,31
Thong,30
Binding,30
Micro,30
Lapel,30
Bandeau,30
Bikinx,30
Insert,30
Pullover,29
Puffer,29
Criss,29
Tied,29
Draped,28
Elastic,28
Biker,28
With,28
Underwire,27
Sleeveless,27
BIZwear,27
Piece,27
Geo,27
Hollow,26
Form,25
Hooded,25
Fit,25
PARTHEA,25
Fly,24
Modely,24
Kimono,24
Breasted,24
Cut-out,24
Paisley,24
Cuff,24
Bra,24
Chain,24
Cartoon,23
Jacquard,23
Neckline,22
Hanky,22
Cold,22
Figure,22
1pc,22
3pack,21
Grunge,21
Bustier,20
Overall,19
Dual,19
Cotton,19
Belle,19
Velvet,19
Turtleneck,19
O-ring,18
Strap,18
Boat,18
Glitter,18
Kangaroo,18
Maxi,18
Bandana,18
Eyelet,17
Houndstooth,16
Pointelle,16
Cable,16
Crochet,15
Star,15
Super,15
Stripe,15
Pockets,15
Chiffon,15
Dolman,15
Waffle,15
Camo,15
Plicated,15
Bodice,14
Notch,14
Duster,14
3pcs,14
Dalmatian,14
90s,14
V-neck,14
Overlap,14
Criss-cross,14
Roll,14
Beach,14
Metallic,14
PUNK,14
Decor,14
Push,13
Track,13
Panty,13
2,13
Schiffy,13
Pencil,12
4pcs,12
Low,12
Peplum,12
Sequins,12
Joyfunear,12
and,12
Bell,11
Car,11
Suit,11
Marble,11
Mermaid,11
Placket,11
Stand,11
Fuzzy,11
