,product_name,product_price
0,High-Waisted Classic Leggings - Wild Fable™ Black,$7.00
1,Tiny Tank Top - Wild Fable™,$4.00
2,90 Degree by Reflex - Women's Soft Comfy Lounge Shorts with Pockets,$19.99
3,Tonal Shamrocks St. Patrick's Day Crew Socks - Dark Green 4-10,$4.00
4,Short Sleeve Casual T-Shirt - A New Day™,$4.80
5,Plush Cotton Unisex Adult Bathrobe - Blue Nile Mills,$57.99 - $58.99
6,Gradient Shamrock St. Patrick's Day Low Cut Socks - Black 4-10,$2.00
7,Short Sleeve Ribbed T-Shirt - A New Day™,$6.40
8,"Alexander del Rossa Women's Raglan Sleep Shirt with Pockets, Long Sleeve Nightshirt, Lightweight Nightgown",$24.99
9,Short Sleeve Extended Shoulder T-Shirt - A New Day™,$8.00
10,Short Sleeve T-Shirt - Wild Fable™,$4.00
11,"Alexander del Rossa Women's Raglan Sleep Shirt, Short Sleeve Nightshirt, Lightweight Nightgown",$18.99
12,Long Sleeve Relaxed Fit Collared Button-Down Shirt - Universal Thread™,$25.00
13,Fashion Forms Women's Reusable Silicone Gel Petals,$8.99
14,Slim Fit Square Neck Tank Top - A New Day™,$6.40
15,Elbow Sleeve Boxy Cropped T-Shirt - A New Day™,$9.60
16,Short Sleeve V-Neck T-Shirt - A New Day™,$4.80
17,Fashion Forms Women's Dress Tape With Dispenser,$7.99
18,Laser Cut Thong - Auden™,$4.25 - $5.00
19,Doxie St. Patrick's Day Crew Socks - Dark Green 4-10,$4.00
20,Multipattern 6pk Crew Socks - A New Day™ Black 4-10,$9.00
21,Laser Cut Cheeky Underwear - Auden™,$4.25 - $5.00
22,Slim Fit Cropped Cami Tank Top - Wild Fable™,$2.40
23,Irish Pug St. Patrick's Day Crew Socks - Green 4-10,$4.00
24,Guinea Pig Low Cut Socks - Xhilaration™ Pink One Size,$1.50
25,Stretch Woven Tapered Cargo Pants - All in Motion™,$25.50 - $30.00
26,Long Sleeve Ribbed T-Shirt - A New Day™,$9.60
27,High-Rise Tapered Ankle Pull-On Pants - A New Day™,$25.00
28,Square Neck Tank Top - A New Day™,$4.80 - $6.40
29,Short Sleeve V-Neck Cropped T-Shirt - Wild Fable™,$3.50 - $4.25
30,"Alexander Del Rossa Women's Warm Winter Robe, Plush Fleece Full Length Long Bathrobe",$49.99
31,Lucky Llama St. Patrick's Day Crew Socks - Green 4-10,$4.00
32,Laser Cut Hipster - Auden™,$5.00
33,Smocked Waist Side Slit Cover Up Pants - Kona Sol™,$25.00 - $28.00
34,Laser Cut Cheeky Bikini Underwear - Auden™,$4.25 - $5.00
35,Sparkly Low Cut Socks - Xhilaration™ 4-10,$1.50
36,Micro Hipster Underwear - Auden™,$4.25 - $5.00
37,'Top of the Meowning to Ya' St. Patrick's Day Crew Socks - Heather Gray 4-10,$4.00
38,Beautifully Soft Fleece Lounge Jogger Pants - Stars Above™,$19.99
39,Oversized Long Sleeve Button-Down Shirt - Universal Thread™,$25.00
40,Muscle Tank Top - A New Day™,$6.40
41,Seamless Thong - Auden™,$5.00 - $6.00
42,Short Sleeve T-Shirt - Universal Thread™,$8.00
43,High-Waisted Ribbed Flare Leggings - Wild Fable™,$22.00
44,Slim Fit Short Sleeve V-Neck T-Shirt - Universal Thread™,$8.00
45,Rainbow with Fuzzy Clouds Low Cut Socks - Xhilaration™ Oatmeal Heather 4-10,$1.50
46,Long Sleeve Button-Down Cropped Shirt - Universal Thread™,$25.00
47,Hanes Premium 6 Pack Women's Cushioned Ankle Socks - 5-9,$11.99
48,Allover Lace Thong - Auden™,$6.00
49,Bonded Micro Thong - Auden™,$5.00
50,Bonded Micro Bikini Underwear - Auden™,$5.00
51,Perfectly Cozy Lounge Jogger Pants - Stars Above™,$19.99
52,Cotton Comfort Hipster Underwear - Auden™,$6.00
53,Comfort Bikini Underwear - Auden™,$5.00
54,Button-Up Cover Up Shirtdress - Kona Sol™,$28.00 - $30.00
55,Cozy Chenille Robe - Stars Above™,$37.99
56,Shamrock St. Patrick's Day Cozy Crew Socks - White 4-10,$5.00
57,Cotton Bikini Underwear - Auden™,$4.25 - $5.00
58,Square Neck Pointelle Pullover Sweater - Wild Fable™,$28.00
59,Stretch Woven Taper Pants - All in Motion™,$19.99 - $32.00
60,Active Muscle Tank Top - All in Motion™,$13.60
61,Cozy Marled 2pk Low Cut Socks - Universal Thread™ 4-10,$7.00
62,'Feelin' Clucky' St. Patrick's Day Crew Socks - Navy/Green 4-10,$4.00
63,Puff Short Sleeve Dress - A New Day™,$35.00
64,Striped 6pk Crew Socks - A New Day™ 4-10,$9.00
65,Pizza Llama Low Cut Socks - Xhilaration™ Pink 4-10,$1.50
66,Solid Knee High Socks - Xhilaration™ 4-10,$2.50
67,Linen Boxy Short-Sleeve T-Shirt - Universal Thread™,$9.60
68,Short Sleeve Shrunken T-Shirt - Universal Thread™,$8.00
69,Comfort Thong - Auden™,$4.25 - $5.00
70,Cozy Slouch Crew Socks - Universal Thread™ 4-10,$5.00
71,Mid-Rise Linen Pull-On Shorts - Universal Thread™,$16.00
72,Perfectly Cozy Wide Leg Lounge Pants - Stars Above™,$19.99
73,Sleeveless Knit Bodycon Dress - Wild Fable™,$18.00
74,Hanes Women's Cushioned 10pk Crew Socks - 5-9,$10.99
75,Striped Shamrock St. Patrick's Day Cozy Low Cut Socks - Green 4-10,$4.00
76,Bonded Micro Thong - Auden™,$5.00
77,Midi A-Line Slip Skirt - A New Day™,$25.00
78,Lace Bikini Underwear - Auden™,$5.95 - $7.00
79,Ribbed Tank Dress - Universal Thread™,$20.00
80,Hanes Premium 6 Pack Women's Cushioned Crew Socks - White 5-9,$11.99
81,Nursing Seamless Bra - Auden™,$16.99
82,Cotton Lace Trim Thong - Auden™,$5.10 - $6.00
83,Rib Triangle Bralette - Colsie™,$7.00
84,Cut Out Lace Thong - Auden™,$7.00
85,Cotton Front Placket Boy Shorts - Auden™,$6.00
86,Farmer Chicken Low Cut Socks - Xhilaration™ Blue Denim 4-10,$1.50
87,Sloth Low Cut Socks - Xhilaration™ Orange 4-10,$1.50
88,Cow Low Cut Socks - Xhilaration™ Heather Gray 4-10,$1.50
89,Seamless Hipster Underwear - Auden™ Green,$6.00
90,Fashion Forms Women's Reusable Full Figure Gel Petals Adhesive Strapless Backless Bra - Clear,$9.99
91,Rainy Day Pig Low Cut Socks - Xhilaration™ Charcoal Gray 4-10,$1.50
92,Cat Faces Ankle Socks - Xhilaration™ Peach 4-10,$2.50
93,Cat Hamburger Low Cut Socks - Xhilaration™ Light Heather Gray 4-10,$1.50
94,Low Cut Socks - Xhilaration™,$1.50
95,Fitted Crew Short-Sleeve T-Shirt - Universal Thread™,$8.00
96,Laser Cut Hipster Underwear - Auden™,$4.25 - $5.00
97,Ribbed Slim Fit Tank Top - A New Day™,$6.40
98,Seamless Bikini Underwear - Auden™,$5.00
99,Faux Fur Cozy Pull-On Slipper Socks,$6.80 - $8.00
100,Slim Fit Extended Shoulder Gauze Tank Top - A New Day™,$25.00
101,Seamless Slim Fit Tank Top - A New Day™,$12.00
102,Dr. Cat Low Cut Socks - Xhilaration™ Aqua Blue 4-10,$1.50
103,"Risque No Show Disposable Nipple Covers, 40petals",$12.95
104,Ultra High-Rise Flex Leggings - All in Motion™,$17.99 - $32.00
105,High-Waisted Flare Leggings - Wild Fable™,$17.00 - $20.00
106,Seamless Hipster Underwear - Auden™,$4.25 - $5.00
107,3pk Crew Socks - A New Day™ 4-10,$6.00
108,Cotton Cheeky Underwear with Lace Waistband - Auden™,$4.80 - $6.00
109,Sleeveless Cover Up Maxi Duster - Kona Sol™,$28.00 - $30.00
110,Shamrock Hearts St. Patrick's Day Cozy Low Cut Socks - Charcoal Heather/Green 4-10,$4.00
111,Square Neck Cropped Sweater Tank - Wild Fable™,$18.00
112,Brushed Sculpt Ultra High-Rise Flare Leggings - All in Motion™,$28.00
113,Seamless Boy Shorts - Auden™,$5.00
114,Micro Cheeky Underwear with Lace - Auden™,$5.00
115,Camping Hedgehogs Low Cut Socks - Xhilaration™ Light Blue 4-10,$1.50
116,Kindness Short Sleeve Graphic T-Shirt - Green Floral,$7.99
