Unnamed: 0,Cloth_Desc,Price
0,High-Waisted Classic Leggings - Wild Fable Black,3.50
1,Tiny Tank Top - Wild Fable,2.50
2,90 Degree by Reflex - Women's Soft Comfy Lounge Shorts with Pockets,10.99
3,Tonal Shamrocks St. Patrick's Day Crew Socks - Dark Green 4-10,3.50
4,Short Sleeve Casual T-Shirt - A New Day,4.40
5,Plush Cotton Unisex Adult Bathrobe - Blue Nile Mills,40.66
6,Gradient Shamrock St. Patrick's Day Low Cut Socks - Black 4-10,4.00
7,Short Sleeve Ribbed T-Shirt - A New Day,6.70
8,"Alexander del Rossa Women's Raglan Sleep Shirt with Pockets, Long Sleeve Nightshirt, Lightweight Nightgown",16.49
9,Short Sleeve Extended Shoulder T-Shirt - A New Day,8.50
10,Short Sleeve T-Shirt - Wild Fable,7.00
11,"Alexander del Rossa Women's Raglan Sleep Shirt, Short Sleeve Nightshirt, Lightweight Nightgown",14.99
12,Long Sleeve Relaxed Fit Collared Button-Down Shirt - Universal Thread,18.50
13,Fashion Forms Women's Reusable Silicone Gel Petals,11.00
14,Slim Fit Square Neck Tank Top - A New Day,10.20
15,Elbow Sleeve Boxy Cropped T-Shirt - A New Day,12.30
16,Short Sleeve V-Neck T-Shirt - A New Day,10.40
17,Fashion Forms Women's Dress Tape With Dispenser,12.50
18,Laser Cut Thong - Auden,9.08
19,Doxie St. Patrick's Day Crew Socks - Dark Green 4-10,11.50
20,Multipattern 6pk Crew Socks - A New Day Black 4-10,14.50
21,Laser Cut Cheeky Underwear - Auden,10.08
22,Slim Fit Cropped Cami Tank Top - Wild Fable,12.20
23,Irish Pug St. Patrick's Day Crew Socks - Green 4-10,13.50
24,Guinea Pig Low Cut Socks - Xhilaration Pink One Size,12.75
25,Stretch Woven Tapered Cargo Pants - All in Motion,26.83
26,Long Sleeve Ribbed T-Shirt - A New Day,17.80
27,High-Rise Tapered Ankle Pull-On Pants - A New Day,26.00
28,Square Neck Tank Top - A New Day,13.07
29,Short Sleeve V-Neck Cropped T-Shirt - Wild Fable,12.25
30,"Alexander Del Rossa Women's Warm Winter Robe, Plush Fleece Full Length Long Bathrobe",40.00
31,Lucky Llama St. Patrick's Day Crew Socks - Green 4-10,17.50
32,Laser Cut Hipster - Auden,18.50
33,Smocked Waist Side Slit Cover Up Pants - Kona Sol,28.67
34,Laser Cut Cheeky Bikini Underwear - Auden,14.42
35,Sparkly Low Cut Socks - Xhilaration 4-10,18.25
36,Micro Hipster Underwear - Auden,15.08
37,'Top of the Meowning to Ya' St. Patrick's Day Crew Socks - Heather Gray 4-10,20.50
38,Beautifully Soft Fleece Lounge Jogger Pants - Stars Above,28.99
39,Oversized Long Sleeve Button-Down Shirt - Universal Thread,32.00
40,Muscle Tank Top - A New Day,23.20
41,Seamless Thong - Auden,17.33
42,Short Sleeve T-Shirt - Universal Thread,25.00
43,High-Waisted Ribbed Flare Leggings - Wild Fable,32.50
44,Slim Fit Short Sleeve V-Neck T-Shirt - Universal Thread,26.00
45,Rainbow with Fuzzy Clouds Low Cut Socks - Xhilaration Oatmeal Heather 4-10,23.25
46,Long Sleeve Button-Down Cropped Shirt - Universal Thread,35.50
47,Hanes Premium 6 Pack Women's Cushioned Ankle Socks - 5-9,29.50
48,Allover Lace Thong - Auden,27.00
49,Bonded Micro Thong - Auden,27.00
50,Bonded Micro Bikini Underwear - Auden,27.50
51,Perfectly Cozy Lounge Jogger Pants - Stars Above,35.49
52,Cotton Comfort Hipster Underwear - Auden,29.00
53,Comfort Bikini Underwear - Auden,29.00
54,Button-Up Cover Up Shirtdress - Kona Sol,37.33
55,Cozy Chenille Robe - Stars Above,46.50
56,Shamrock St. Patrick's Day Cozy Crew Socks - White 4-10,30.50
57,Cotton Bikini Underwear - Auden,22.08
58,Square Neck Pointelle Pullover Sweater - Wild Fable,43.00
59,Stretch Woven Taper Pants - All in Motion,37.00
60,Active Muscle Tank Top - All in Motion,36.80
61,Cozy Marled 2pk Low Cut Socks - Universal Thread 4-10,34.00
62,'Feelin' Clucky' St. Patrick's Day Crew Socks - Navy/Green 4-10,33.00
63,Puff Short Sleeve Dress - A New Day,49.00
64,Striped 6pk Crew Socks - A New Day 4-10,36.50
65,Pizza Llama Low Cut Socks - Xhilaration Pink 4-10,33.25
66,Solid Knee High Socks - Xhilaration 4-10,34.25
67,Linen Boxy Short-Sleeve T-Shirt - Universal Thread,38.30
68,Short Sleeve Shrunken T-Shirt - Universal Thread,38.00
69,Comfort Thong - Auden,26.08
70,Cozy Slouch Crew Socks - Universal Thread 4-10,37.50
71,Mid-Rise Linen Pull-On Shorts - Universal Thread,43.50
72,Perfectly Cozy Wide Leg Lounge Pants - Stars Above,45.99
73,Sleeveless Knit Bodycon Dress - Wild Fable,45.50
74,Hanes Women's Cushioned 10pk Crew Socks - 5-9,42.49
