Keyword,Frequency
-,1121
Socks,304
4-10,221
Day,186
Women's,181
Sleeve,167
Wild,157
Fable,157
A,157
New,156
6pk,130
Top,124
Bikini,124
All,122
Short,112
Cut,108
T-Shirt,107
in,102
Black,101
Motion,100
Low,96
Auden,92
Xhilaration,84
Universal,77
Thread,77
&,77
Athletic,71
Hanes,67
Graphic,66
High,64
No,64
Show,63
High-Rise,61
Liner,60
Colors,59
Pants,57
Bottom,55
Seamless,53
Ribbed,51
Tank,50
Cotton,50
Shorts,49
Dress,49
Cushioned,49
3pk,49
Stars,48
Above,48
Crew,47
Kona,46
Sol,46
Ankle,45
Fit,44
Cheeky,44
Underwear,44
Long,43
Bra,42
Sweatshirt,42
Bralette,39
Print,39
Leggings,38
Soft,37
Premium,37
Blue,35
Assorted,35
May,35
Vary,35
One,34
Gray,34
Cozy,34
Rose,34
Size,33
Leg,32
Shade,31
Shore,31
Knox,31
by,30
Lightweight,30
2pk,30
Colsie,30
Floral,30
Jeans,30
Maternity,30
Isabel,30
Slim,29
V-Neck,29
the,29
4pk,29
White,28
Striped,28
Tights,28
with,27
Waist,27
of,27
10pk,27
Cropped,26
Peds,26
Fruit,26
St.,25
Pajama,25
Swimsuit,25
Patrick's,24
Hipster,24
Light,24
Briefs,24
Piece,24
Green,23
Extended,23
Neck,23
Lace,23
Mesh,23
Loom,23
Heather,22
Ultra,22
Beautifully,21
8-12,21
Support,21
Up,20
5-9,20
and,20
Front,19
5-10,19
Coverage,19
Fleece,18
Cover,18
Mid-Rise,18
Triangle,18
Aqua,18
Tab,18
Lounge,17
Sweater,17
Straight,17
Medium,17
Satin,17
Active,16
Sleeveless,16
Sports,16
Sheer,16
Pro,16
Flare,15
Comfort,15
Ingrid,15
Scoop,15
Thong,14
Skirt,14
Cami,13
Oversized,13
Knit,13
Wash,13
Ava,13
Viv,13
Control,13
Textured,13
High-Waisted,12
Shoulder,12
Pull-On,12
Side,12
Jogger,12
Pullover,12
Puff,12
Super-High,12
Rise,12
Ruffle,12
Performance,12
Shamrock,11
Shirt,11
Relaxed,11
Square,11
Pink,11
Out,11
Orange,11
Set,11
Bodysuit,11
Longline,11
Skinny,11
The,11
French,11
Terry,11
Side-Tie,11
Pack,10
Wide,10
Brushed,10
Sculpt,10
Ruched,10
Cool,10
Racerback,10
Tankini,10
Button-Down,9
Fashion,9
Stretch,9
Full,9
Knee,9
A-Line,9
Charcoal,9
Flex,9
Notch,9
Collar,9
Shirred,9
Perfect,9
Sport,9
Swim,9
Plunge,9
Green®,9
Lace-Up,9
Jockey,9
Generation,9
Sleep,8
Forms,8
Smocked,8
6,8
Linen,8
Nursing,8
Rib,8
Denim,8
Over,8
ASSETS,8
SPANX,8
Brown,8
Jacket,8
Blouse,8
Opaque,8
Tie-Front,8
Super,8
Back,8
Crochet,8
3/4,8
Crewneck,8
Boxy,7
Laser,7
Woven,7
Micro,7
Robe,7
Cat,7
Slipper,7
Waistband,7
Strap,7
Navy,7
Thigh,7
Essential,7
Beige,7
Contour,7
Power,7
Tiered,7
Plus,7
Bike,7
20D,7
Stitch,7
Tropical,7
Purple,7
Breathable,7
Classic,6
Dark,6
Casual,6
Perfectly,6
Strapless,6
Fitted,6
Faux,6
Cardigan,6
Cream,6
JoyLab,6
Highs,6
Cushion,6
Heel,6
NightGown,6
Tie-Dye,6
Animal,6
History,6
Month,6
Adjustable,6
Eyelet,6
Detail,6
Accents,6
Extra,6
Pucker,6
Embroidered,6
Double,6
Multi,6
Elbow,5
Tapered,5
Rainbow,5
Oatmeal,5
Bonded,5
Marled,5
Midi,5
Trim,5
Boy,5
Sloth,5
Adhesive,5
Peach,5
Gauze,5
Distressed,5
Utility,5
High-Waist,5
Nude,5
Corset,5
Pantyhose,5
Simply,5
Boyfriend,5
Fishnet,5
Balloon,5
Ivory,5
Waisted,5
Grippers,5
Strappy,5
Hi-Cut,5
Underwire,5
Toe,5
