Cloth_Desc,Listed_Price,,,,,
Casette Linen Dress,$248.00 ,,,,,
Jaide Dress,$328.00 ,,Average of Listed_Price,Maximum Value of Listed_Price,Minimum Value of Listed_Price,Total Sum of Listed_Price
Joanne Cotton Cardigan,$128.00 ,,$202.74,"$1,150.00",$28.00,"$159,351.00"
Mason Pant,$178.00 ,,,,,
Lindy Knit Top,$68.00 ,,,,,
Frankie Silk Dress,$298.00 ,,,,,
Jacinta Linen Top,$78.00 ,,,,,
Layla Linen Skirt,$148.00 ,,,,,
Vesta Pant,$178.00 ,,,,,
Spritz Linen Top,$98.00 ,,,,,
Meadowlark Top,$148.00 ,,,,,
Ellora Top,$98.00 ,,,,,
Fantino Cashmere Collared Cardigan,$248.00 ,,,,,
Cello Knit Top,$68.00 ,,,,,
Emiliana Knit Dress,$98.00 ,,,,,
Kienna Linen Dress,$98.00 ,,,,,
Vesta Pant,$178.00 ,,,,,
Spritz Linen Top,$98.00 ,,,,,
Meadowlark Top,$148.00 ,,,,,
Ellora Top,$98.00 ,,,,,
Fantino Cashmere Collared Cardigan,$248.00 ,,,,,
Cello Knit Top,$68.00 ,,,,,
Emiliana Knit Dress,$98.00 ,,,,,
Kienna Linen Dress,$98.00 ,,,,,
Kerrigan Linen Dress,$218.00 ,,,,,
Cienna Linen Vest,$128.00 ,,,,,
Nova Tank,$38.00 ,,,,,
Jayde High Rise Denim Midi Skirt,$148.00 ,,,,,
Will Oversized Shirt,$128.00 ,,,,,
Liza Ultra High Rise Straight Cropped Jeans,$148.00 ,,,,,
Joanne Cotton Cardigan,$128.00 ,,,,,
Mason Pant,$178.00 ,,,,,
Oversized Long Sleeve Tee,$68.00 ,,,,,
Val 90s Mid Rise Straight Jeans,$148.00 ,,,,,
Frankie Silk Dress,$298.00 ,,,,,
Frankie Silk Dress Es,$298.00 ,,,,,
Lindy Knit Top,$68.00 ,,,,,
Fantino Cashmere Collared Cardigan,$248.00 ,,,,,
Cora Linen Top,$128.00 ,,,,,
Tazz Maxi Denim Skirt,$188.00 ,,,,,
Will Oversized Silk Shirt,$168.00 ,,,,,
Ethan Twill Pant,$178.00 ,,,,,
Emmett Knit Top,$88.00 ,,,,,
Cary High Rise Slouchy Wide Leg Jeans,$148.00 ,,,,,
Veda Reade Leather Jacket,$448.00 ,,,,,
Heron Cotton Sweater Dress,$228.00 ,,,,,
Jessi Linen Dress,$128.00 ,,,,,
Vesta Pant,$178.00 ,,,,,
Jacinta Linen Top,$78.00 ,,,,,
Overland Linen Jumpsuit,$248.00 ,,,,,
Jaida Linen Two Piece,$278.00 ,,,,,
Colton Sweater Tank,$88.00 ,,,,,
Jacinta Linen Top,$78.00 ,,,,,
Spritz Linen Top,$98.00 ,,,,,
Ava Linen Pant,$158.00 ,,,,,
Silk Scarf,$128.00 ,,,,,
Bea Satin Skirt,$178.00 ,,,,,
Heron Cotton Sweater Dress,$228.00 ,,,,,
Crimini Dress,$148.00 ,,,,,
Daphne Top,$168.00 ,,,,,
Colton Sweater Tank,$88.00 ,,,,,
Hester Top,$98.00 ,,,,,
Sasha Silk Jumpsuit,$328.00 ,,,,,
Cora Linen Top,$128.00 ,,,,,
Ava Linen Pant,$158.00 ,,,,,
Harlan Knit Top,$78.00 ,,,,,
Solana Satin Dress,$398.00 ,,,,,
Shayla Dress,$348.00 ,,,,,
Olivia Linen Two Piece,$248.00 ,,,,,
Wilder High Rise Wide Leg Jeans,$148.00 ,,,,,
Will Oversized Shirt,$128.00 ,,,,,
Veda Bowery Leather Blazer,$428.00 ,,,,,
Redford Cotton Open Knit Sweater,$168.00 ,,,,,
Johnny Dress,$218.00 ,,,,,
Frankie Silk Dress,$298.00 ,,,,,
Ethan Linen Pant,$178.00 ,,,,,
Eldora Knit Top,$68.00 ,,,,,
Benny Cashmere Collared Cardigan,$248.00 ,,,,,
Vesta Pant,$178.00 ,,,,,
Madalie Knit Two Piece,$148.00 ,,,,,
